id_user,id_item,height,weight,chest,waist,hips,gender,age,rating
1,1,153,51,83,75,93,Female,50,2
1,2,153,51,83,75,93,Female,50,3
1,3,153,51,83,75,93,Female,50,1
1,4,153,51,83,75,93,Female,50,3
1,5,153,51,83,75,93,Female,50,5
1,6,153,51,83,75,93,Female,50,2
1,7,153,51,83,75,93,Female,50,2
1,8,153,51,83,75,93,Female,50,1
1,9,153,51,83,75,93,Female,50,5
1,10,153,51,83,75,93,Female,50,5
1,11,153,51,83,75,93,Female,50,4
1,12,153,51,83,75,93,Female,50,4
1,13,153,51,83,75,93,Female,50,2
1,14,153,51,83,75,93,Female,50,3
1,15,153,51,83,75,93,Female,50,3
1,16,153,51,83,75,93,Female,50,5
1,17,153,51,83,75,93,Female,50,3
1,18,153,51,83,75,93,Female,50,4
1,19,153,51,83,75,93,Female,50,1
1,20,153,51,83,75,93,Female,50,1
1,21,153,51,83,75,93,Female,50,4
1,22,153,51,83,75,93,Female,50,2
1,23,153,51,83,75,93,Female,50,3
1,24,153,51,83,75,93,Female,50,4
1,25,153,51,83,75,93,Female,50,5
1,26,153,51,83,75,93,Female,50,3
1,27,153,51,83,75,93,Female,50,4
1,28,153,51,83,75,93,Female,50,3
1,29,153,51,83,75,93,Female,50,4
1,30,153,51,83,75,93,Female,50,4
1,31,153,51,83,75,93,Female,50,1
1,32,153,51,83,75,93,Female,50,5
1,33,153,51,83,75,93,Female,50,1
1,34,153,51,83,75,93,Female,50,1
1,35,153,51,83,75,93,Female,50,5
1,36,153,51,83,75,93,Female,50,4
1,37,153,51,83,75,93,Female,50,3
1,38,153,51,83,75,93,Female,50,5
1,39,153,51,83,75,93,Female,50,3
1,40,153,51,83,75,93,Female,50,2
1,41,153,51,83,75,93,Female,50,2
1,42,153,51,83,75,93,Female,50,1
1,43,153,51,83,75,93,Female,50,1
1,44,153,51,83,75,93,Female,50,1
1,45,153,51,83,75,93,Female,50,4
1,46,153,51,83,75,93,Female,50,2
1,47,153,51,83,75,93,Female,50,1
1,48,153,51,83,75,93,Female,50,3
1,49,153,51,83,75,93,Female,50,1
1,50,153,51,83,75,93,Female,50,5
1,51,153,51,83,75,93,Female,50,4
1,52,153,51,83,75,93,Female,50,1
1,53,153,51,83,75,93,Female,50,2
1,54,153,51,83,75,93,Female,50,2
1,55,153,51,83,75,93,Female,50,5
